Date,Price,Pred,Conf,Risk,Actual,Outcome
2020-01-01,28189.75,BULLISH,85.0,29.2,-16.27,BEARISH
2020-01-31,26312.63,BEARISH,70.5,57.8,-6.34,NEUTRAL_BEARS
2020-03-01,26129.93,BEARISH,85.0,67.5,-12.13,BEARISH
2020-03-31,23603.48,BEARISH,85.0,82.0,2.96,NEUTRAL
2020-04-30,24643.59,BEARISH,85.0,60.5,0.97,NEUTRAL
2020-05-30,22961.47,BEARISH,85.0,76.1,10.72,BULLISH
2020-06-29,24301.28,NEUTRAL,56.0,50.5,-4.39,NEUTRAL
2020-07-29,24883.14,NEUTRAL,55.0,50.0,-0.39,NEUTRAL
2020-08-28,25422.06,BULLISH,81.0,37.0,5.50,NEUTRAL_BULLS
2020-09-27,23235.42,BEARISH,85.0,78.8,13.56,BULLISH
2020-10-27,24787.19,NEUTRAL,57.0,49.0,21.67,BULLISH
2020-11-26,26819.45,BULLISH,85.0,20.2,10.81,BULLISH
2020-12-26,26386.56,BULLISH,85.0,31.5,7.39,NEUTRAL_BULLS
2021-01-01,27231.13,BULLISH,85.0,22.5,6.27,NEUTRAL_BULLS
2021-01-31,28283.71,BULLISH,85.0,28.6,1.56,NEUTRAL
2021-03-02,29095.86,BULLISH,85.0,28.6,0.19,NEUTRAL
2021-04-01,28938.74,BULLISH,78.0,38.5,-0.38,NEUTRAL
2021-05-01,28724.88,NEUTRAL,60.0,47.5,-9.62,NEUTRAL_BEARS
2021-05-31,29151.80,BULLISH,72.0,41.5,-12.84,BEARISH
2021-06-30,28827.95,BULLISH,77.0,39.0,-15.01,BEARISH
2021-07-30,25961.03,BEARISH,85.0,82.0,-1.56,NEUTRAL
2021-08-29,25407.89,BEARISH,85.0,82.0,-5.22,NEUTRAL_BEARS
2021-09-28,24500.39,BEARISH,85.0,77.5,-5.21,NEUTRAL_BEARS
2021-10-28,25555.73,NEUTRAL,64.0,54.5,-4.95,NEUTRAL
2021-11-27,24080.52,BEARISH,85.0,77.5,-5.45,NEUTRAL_BEARS
2021-12-27,23223.76,BEARISH,85.0,75.0,-7.83,NEUTRAL_BEARS
2022-01-01,23397.67,BEARISH,85.0,77.5,-5.80,NEUTRAL_BEARS
2022-01-31,23802.26,BEARISH,85.0,69.5,-11.40,BEARISH
2022-03-02,22343.92,BEARISH,85.0,76.8,-4.16,NEUTRAL
2022-04-01,22039.55,BEARISH,85.0,69.5,-0.82,NEUTRAL
2022-05-01,21089.39,BEARISH,85.0,77.5,-4.42,NEUTRAL
2022-05-31,21415.20,NEUTRAL,64.0,54.5,-6.50,NEUTRAL_BEARS
2022-06-30,21859.79,BEARISH,72.0,58.5,-21.08,BEARISH
2022-07-30,20156.51,BEARISH,84.0,64.5,-26.26,BEARISH
2022-08-29,20023.22,BEARISH,85.0,69.5,-12.23,BEARISH
2022-09-28,17250.88,BEARISH,85.0,80.6,13.58,BULLISH
2022-10-28,14863.06,BEARISH,85.0,80.6,51.83,BULLISH
2022-11-27,17573.58,BEARISH,77.8,61.4,13.86,BULLISH
2022-12-27,19593.06,BULLISH,76.0,39.5,-0.13,NEUTRAL
2023-01-01,19781.41,BULLISH,85.0,23.5,3.13,NEUTRAL
2023-01-31,21842.33,BULLISH,85.0,23.1,-8.92,NEUTRAL_BEARS
2023-03-02,20429.46,NEUTRAL,56.8,49.1,-10.75,BEARISH
2023-04-01,20400.11,NEUTRAL,63.0,54.0,-7.27,NEUTRAL_BEARS
2023-05-01,19894.57,NEUTRAL,69.0,57.0,0.11,NEUTRAL
2023-05-31,18234.27,BEARISH,85.0,80.6,1.37,NEUTRAL
2023-06-30,18916.43,BEARISH,85.0,67.0,-8.16,NEUTRAL_BEARS
2023-07-30,19916.56,BULLISH,70.5,42.2,-12.64,BEARISH
2023-08-29,18484.03,BEARISH,85.0,71.5,-5.19,NEUTRAL_BEARS
2023-09-28,17373.03,BEARISH,85.0,82.0,-4.31,NEUTRAL
2023-10-28,17398.73,BEARISH,85.0,70.5,-8.31,NEUTRAL_BEARS
2023-11-27,17525.06,BEARISH,85.0,70.5,-4.56,NEUTRAL
2023-12-27,16624.84,BEARISH,82.0,63.5,-0.04,NEUTRAL
2024-01-01,17047.39,BEARISH,82.0,63.5,-2.97,NEUTRAL
2024-01-31,15485.07,BEARISH,85.0,82.0,14.71,BULLISH
2024-03-01,16589.44,NEUTRAL,62.0,53.5,9.89,NEUTRAL_BULLS
2024-03-31,16541.42,NEUTRAL,60.0,52.5,7.12,NEUTRAL_BULLS
2024-04-30,17763.03,BULLISH,85.0,22.5,-2.95,NEUTRAL
2024-05-30,18230.19,BULLISH,85.0,30.5,-2.95,NEUTRAL
2024-06-29,17718.61,NEUTRAL,55.0,50.0,16.44,BULLISH
2024-07-29,17238.34,NEUTRAL,61.0,53.0,19.44,BULLISH
2024-08-28,17692.45,BULLISH,72.5,41.2,8.29,NEUTRAL_BULLS
2024-09-27,20632.30,BULLISH,85.0,23.2,-2.59,NEUTRAL
2024-10-27,20590.15,BULLISH,85.0,32.0,-2.54,NEUTRAL
2024-11-26,19159.20,NEUTRAL,68.5,43.2,21.83,BULLISH
2024-12-26,20098.29,BULLISH,85.0,30.6,16.84,BULLISH
2025-01-01,20059.95,NEUTRAL,70.0,42.5,15.69,BULLISH
2025-01-31,20225.11,BULLISH,85.0,33.6,9.37,NEUTRAL_BULLS
2025-03-02,22941.32,BULLISH,85.0,18.0,1.52,NEUTRAL
2025-04-01,23206.84,BULLISH,85.0,28.6,3.73,NEUTRAL
2025-05-01,22119.41,BULLISH,85.0,33.8,13.82,BULLISH
2025-05-31,23289.77,BULLISH,79.8,37.6,7.68,NEUTRAL_BULLS
2025-06-30,24072.28,BULLISH,85.0,29.5,8.54,NEUTRAL_BULLS
2025-07-30,25176.93,BULLISH,85.0,25.8,4.64,NEUTRAL
2025-08-29,25077.62,BULLISH,85.0,28.6,3.46,NEUTRAL
2025-09-28,26128.20,BULLISH,85.0,28.5,-1.18,NEUTRAL
2025-10-28,26346.14,BULLISH,85.0,30.5,1.59,NEUTRAL
2025-11-27,25945.93,NEUTRAL,70.0,42.5,1.80,NEUTRAL
2025-12-27,25818.93,NEUTRAL,67.0,56.0,2.30,NEUTRAL
2026-01-01,25630.54,NEUTRAL,67.0,56.0,3.05,NEUTRAL
2026-01-31,27387.11,BULLISH,85.0,26.5,-3.56,NEUTRAL
